"date","maxtempC","mintempC","avgtempC","uvIndex","humidity","pressure","FeelsLikeC","month","city"
"2017-06-22","25","13","19","5","77","1019","19","6","Braga"
"2017-06-23","25","9","17","5","73","1023","18","6","Braga"
"2017-06-24","26","9","18","4","70","1022","18","6","Braga"
"2017-06-25","29","12","20","5","61","1015","20","6","Braga"
"2017-06-26","22","12","17","4","81","1013","17","6","Braga"
"2017-06-27","20","15","17","4","90","1013","17","6","Braga"
"2017-06-28","19","12","16","4","84","1014","16","6","Braga"
"2017-06-29","17","9","14","4","80","1018","13","6","Braga"
"2017-06-30","20","8","14","3","74","1022","14","6","Braga"
"2017-07-01","23","7","15","5","65","1027","16","7","Braga"
"2017-07-02","31","12","21","6","56","1024","22","7","Braga"
"2017-07-03","35","19","26","7","46","1019","26","7","Braga"
"2017-07-04","31","17","24","6","51","1013","25","7","Braga"
"2017-07-05","22","14","18","4","81","1014","18","7","Braga"
"2017-07-06","26","12","18","5","82","1015","19","7","Braga"
"2017-07-07","26","14","19","5","81","1017","20","7","Braga"
"2017-07-08","27","14","20","5","79","1017","20","7","Braga"
"2017-07-09","22","14","17","5","87","1017","17","7","Braga"
"2017-07-10","26","11","18","5","73","1017","19","7","Braga"
"2017-07-11","27","12","19","5","67","1018","20","7","Braga"
"2017-07-12","30","14","22","6","71","1020","22","7","Braga"
"2017-07-13","32","17","24","6","64","1019","25","7","Braga"
"2017-07-14","33","15","23","6","63","1018","24","7","Braga"
"2017-07-15","35","16","24","6","54","1016","25","7","Braga"
"2017-07-16","33","15","23","6","54","1016","24","7","Braga"
"2017-07-17","28","12","20","5","72","1014","21","7","Braga"
"2017-07-18","22","11","17","5","85","1013","17","7","Braga"
"2017-07-19","23","16","18","4","82","1016","18","7","Braga"
"2017-07-20","24","14","18","5","65","1017","18","7","Braga"
"2017-07-21","23","13","18","5","63","1016","18","7","Braga"
"2017-07-22","24","14","18","5","70","1018","19","7","Braga"
"2017-07-23","28","15","21","6","62","1022","21","7","Braga"
"2017-07-24","29","17","22","6","64","1023","22","7","Braga"
"2017-07-25","31","17","23","6","49","1019","23","7","Braga"
"2017-07-26","31","19","24","6","45","1017","24","7","Braga"
"2017-07-27","28","17","22","6","66","1017","22","7","Braga"
"2017-07-28","27","18","22","6","71","1019","23","7","Braga"
"2017-07-29","27","19","22","6","76","1018","22","7","Braga"
"2017-07-30","24","16","20","5","69","1016","20","7","Braga"
"2017-07-31","23","15","19","5","60","1014","19","7","Braga"
"2017-08-01","24","14","19","5","63","1017","19","8","Braga"
"2017-08-02","26","14","20","5","61","1020","20","8","Braga"
"2017-08-03","28","17","22","6","70","1020","22","8","Braga"
"2017-08-04","29","19","23","6","70","1019","24","8","Braga"
"2017-08-05","29","19","24","6","65","1019","24","8","Braga"
"2017-08-06","31","17","23","6","52","1017","24","8","Braga"
"2017-08-07","25","17","20","6","61","1016","21","8","Braga"
"2017-08-08","24","12","18","5","60","1020","18","8","Braga"
"2017-08-09","25","12","18","5","52","1022","18","8","Braga"
"2017-08-10","29","12","20","6","42","1024","20","8","Braga"
"2017-08-11","31","16","23","6","36","1022","23","8","Braga"
"2017-08-12","33","18","25","7","30","1020","25","8","Braga"
"2017-08-13","33","20","26","7","37","1016","26","8","Braga"
"2017-08-14","28","18","22","6","53","1015","23","8","Braga"
"2017-08-15","26","16","20","6","64","1020","21","8","Braga"
"2017-08-16","28","15","21","6","56","1022","21","8","Braga"
"2017-08-17","30","17","22","6","63","1021","24","8","Braga"
"2017-08-18","29","17","23","6","60","1020","24","8","Braga"
"2017-08-19","33","17","25","6","53","1020","25","8","Braga"
"2017-08-20","38","21","28","7","33","1018","28","8","Braga"
"2017-08-21","34","22","27","7","32","1015","27","8","Braga"
"2017-08-22","31","19","24","6","57","1017","26","8","Braga"
