date,value,cidade,mes
2017-06-22,9.89,Braga,6
2017-06-23,8.95,Braga,6
2017-06-24,8.88,Braga,6
2017-06-25,8.7,Braga,6
2017-06-26,8.65,Braga,6
2017-06-27,8.74,Braga,6
2017-06-28,8.68,Braga,6
2017-06-29,7.03,Braga,6
2017-06-30,7.35,Braga,6
2017-07-01,9.11,Braga,7
2017-07-02,9.32,Braga,7
2017-07-03,9.79,Braga,7
2017-07-04,9.37,Braga,7
2017-07-05,8.45,Braga,7
2017-07-06,7.66,Braga,7
2017-07-07,8.07,Braga,7
2017-07-08,9.55,Braga,7
2017-07-09,8.64,Braga,7
2017-07-10,8.78,Braga,7
2017-07-11,9.25,Braga,7
2017-07-12,9.41,Braga,7
2017-07-13,9.44,Braga,7
2017-07-14,8.77,Braga,7
2017-07-15,8.79,Braga,7
2017-07-16,8.82,Braga,7
2017-07-17,8.7,Braga,7
2017-07-18,8.27,Braga,7
2017-07-19,8.29,Braga,7
2017-07-20,7.9,Braga,7
2017-07-21,8.25,Braga,7
2017-07-22,8.33,Braga,7
2017-07-23,8.41,Braga,7
2017-08-01,7.87,Braga,8
2017-08-02,9.01,Braga,8
2017-08-03,8.73,Braga,8
2017-08-04,8.96,Braga,8
2017-08-05,8.44,Braga,8
2017-08-06,8.05,Braga,8
2017-08-07,7.97,Braga,8
2017-08-08,7.5,Braga,8
2017-08-09,7.32,Braga,8
2017-08-10,7.5,Braga,8
2017-08-11,7.91,Braga,8
2017-08-12,8.3,Braga,8
2017-08-13,8.11,Braga,8
2017-08-14,7.93,Braga,8
2017-08-15,7.51,Braga,8
2017-08-16,8.16,Braga,8
2017-08-17,8.08,Braga,8
2017-08-18,8.15,Braga,8
2017-08-19,8.11,Braga,8
2017-08-20,8.28,Braga,8
2017-08-21,8.08,Braga,8
2017-08-22,7.67,Braga,8
2017-08-23,7.45,Braga,8
2017-08-24,7.16,Braga,8
2017-08-25,7.43,Braga,8
2017-08-26,7.02,Braga,8
2017-08-27,6.73,Braga,8
2017-08-28,6.48,Braga,8
2017-08-29,6.86,Braga,8
2017-08-30,6.44,Braga,8
2017-08-31,6.71,Braga,8
2017-09-01,6.48,Braga,9
2017-09-02,6.7,Braga,9
2017-09-03,6.99,Braga,9
2017-09-04,7.04,Braga,9
2017-09-05,6.87,Braga,9
2017-09-06,6.46,Braga,9
2017-09-07,6.8,Braga,9
2017-09-08,6.32,Braga,9
2017-09-09,6.18,Braga,9
2017-09-10,6.7,Braga,9
2017-09-11,6.04,Braga,9
2017-09-12,6.09,Braga,9
2017-09-13,6.15,Braga,9
2017-09-14,6.08,Braga,9
2017-09-15,5.35,Braga,9
